index,Open,High,Low,Close,Volume,Adjusted
2000-09-15,491,493.75,490,493.75,445,493.75
2000-09-18,483.25,486,482.5,484,382,484
2000-09-19,485,485.5,483.5,484.25,325,484.25
2000-09-20,483.5,484.25,483.25,483.25,321,483.25
2000-09-21,486.75,488,486,486.5,330,486.5
2000-09-22,490,491.5,489.5,491,293,491
2000-09-25,495.75,496.5,494,496.5,178,496.5
2000-09-26,494.5,496.5,494.5,496.5,208,496.5
2000-09-27,493.25,494.5,492.5,492.5,328,492.5
2000-09-28,495.25,497,495.25,497,379,497
2000-09-29,498,499,497.5,499,799,499
2000-10-02,488.25,488.75,486,488.5,258,488.5
2000-10-03,489.25,489.25,487.75,488.5,435,488.5
2000-10-04,488.25,489,487,489,233,489
2000-10-05,485.5,485.75,485.25,485.75,266,485.75
2000-10-06,484,486,484,486,231,486
2000-10-09,484,484.5,483.25,484.5,187,484.5
2000-10-10,482.75,483,482.5,483,311,483
2000-10-11,485,485.5,485,485,1017,485
2000-10-12,477.75,479.5,476,478,422,478
2000-10-13,473.75,474.5,473,473.25,372,473.25
2000-10-16,465.25,466,465,465,509,465
2000-10-17,465,467.75,464.75,467.75,167,467.75
2000-10-18,467.75,468,467,468,302,468
2000-10-19,468,468,467.25,468,309,468
2000-10-20,472,474.25,472,473.25,136,473.25
2000-10-23,468,468.5,467.5,468.5,142,468.5
2000-10-24,462.5,464,462.5,463.5,178,463.5
2000-10-25,467.75,468.5,467,467.25,123,467.25
2000-10-26,467,468.25,467,467,94,467
2000-10-27,461,462,461,461,141,461
2000-10-30,456.5,458,456.5,457.75,228,457.75
2000-10-31,455.75,456,454.75,455.25,10948,455.25
2000-11-01,459.5,466.25,459,462.75,124,462.75
2000-11-02,464.5,469.25,464.5,468.25,21,468.25
2000-11-03,473,474,472.75,473.5,9,473.5
2000-11-06,474.25,475,474.25,475,4,475
2000-11-07,474,474,473.25,473.5,6,473.5
2000-11-08,474.75,475.5,474.75,475.5,1,475.5
2000-11-09,474,474.5,474,474,1,474
2000-11-10,474,474,474,467.25,2,467.25
2000-11-13,462.5,462.75,462.25,462.5,14,462.5
2000-11-14,467.5,467.5,467.25,472,319,472
2000-11-15,479,480,478.5,478.5,256,478.5
2000-11-16,481,481.5,480,481,57,481
2000-11-17,477,479,477,479,300,479
2000-11-20,486.25,490.75,486.25,490.75,382,490.75
2000-11-21,493,493,491.25,491.25,232,491.25
2000-11-22,489,489.5,488.5,491,501,491
2000-11-23,489,489.5,488.5,491,501,491
2000-11-24,492,495.25,492,495.25,354,495.25
2000-11-27,500.5,508,500.25,507.5,195,507.5
2000-11-28,497,497.25,496,497,795,497
2000-11-29,500.5,505.5,498.75,505.5,303,505.5
2000-11-30,499.25,503.75,499.25,502,386,502
2000-12-01,506.5,507.5,505,506.75,325,506.75
2000-12-04,508,508,503.5,505.25,159,505.25
2000-12-05,504,504,501.5,502,249,502
2000-12-06,500,500,498.5,499.75,892,499.75
2000-12-07,507,510,506.75,509.75,311,509.75
2000-12-08,503,503,499.5,500,411,500
2000-12-11,510,511,508.5,509,277,509
2000-12-12,511,513.75,511,512,141,512
2000-12-13,506.25,507.5,505.5,506,166,506
2000-12-14,506,508.75,506,508.75,76,508.75
2000-12-15,504,506,503.5,505,579,505
2000-12-18,508.5,513,508,513,76,513
2000-12-19,509.75,510,508,508,183,508
2000-12-20,511,512,510,512,35,512
2000-12-21,507.75,508.5,506.5,507.25,73,507.25
2000-12-22,509,511.75,509,511,27547,511
2000-12-25,509,511.75,509,511,27547,511
2000-12-26,510,510.75,504.75,505.25,198,505.25
2000-12-27,503.75,503.75,499.5,501.75,39,501.75
2000-12-28,498,499,498,499,43,499
2000-12-29,497.5,499,497.5,499,4,499
2001-01-01,497.5,499,497.5,499,4,499
2001-01-02,500,500.5,500,500,5,500
2001-01-03,493.75,493.75,493.75,493.75,3,493.75
2001-01-04,498,499.5,498,499.5,7,499.5
2001-01-05,493,493.75,493,493.75,11,493.75
2001-01-08,488,488,488,488,11,488
2001-01-09,488,488,488,491,1021,491
2001-01-10,494,494.75,489.5,490.5,3,490.5
2001-01-11,482,482,480,482,0,482
2001-01-12,480.5,482,476,479.25,268,479.25
2001-01-15,480.5,482,476,479.25,268,479.25
2001-01-16,482,482.5,480,481,415,481
2001-01-17,476.75,477,475,477,237,477
2001-01-18,472.5,474.75,472,473.5,454,473.5
2001-01-19,473.25,476,473,476,237,476
2001-01-22,470.25,470.75,469.25,469.5,454,469.5
2001-01-23,476.25,477.5,476,477.5,193,477.5
2001-01-24,467.75,468.5,467.25,468,146,468
2001-01-25,469.75,470,469,469,193,469
2001-01-26,465,467,465,467,146,467
2001-01-29,460,460,457.75,459.75,259,459.75
2001-01-30,459.75,461.25,459.75,461.25,76,461.25
2001-01-31,460.75,461,459.75,459.75,119,459.75
2001-02-01,459,459.5,458.25,458.25,160,458.25
2001-02-02,462.25,463,462.25,463,202,463
2001-02-05,467.75,468.5,467,468,33,468
2001-02-06,462,462.25,461,461,42,461
2001-02-07,464.25,465.5,464,465.25,164,465.25
2001-02-08,463,463.5,462.25,463,42,463
2001-02-09,453,453,452,453,191,453
2001-02-12,455,456.5,454.5,456.5,0,456.5
2001-02-13,452.5,453.75,449.5,450,129,450
2001-02-14,449.5,451.25,449.5,451.25,58,451.25
2001-02-15,452,453.25,451.75,453.25,54,453.25
2001-02-16,450.25,451.75,450,451.75,311,451.75
2001-02-19,450.25,451.75,450,451.75,311,451.75
2001-02-20,456.25,459,456,458.5,64,458.5
2001-02-21,454,455,453.75,454,119,454
2001-02-22,457.5,460,457.5,459,24436,459
2001-02-23,452.5,453.5,447,448,50,448
2001-02-26,447.25,448.75,447.25,447.75,22,447.75
2001-02-27,449.75,450.5,449.75,450.5,60,450.5
2001-02-28,451,454.75,451,454.75,20,454.75
2001-03-01,453,454.5,453,453.75,16,453.75
2001-03-02,457,460,456.75,460,4294,460
2001-03-05,456.5,463.5,456,456.5,8,456.5
2001-03-06,456.75,456.75,453.5,456.5,1,456.5
2001-03-07,463,463,461.75,463,12,463
2001-03-08,459.5,459.5,458.5,458.5,2013,458.5
2001-03-09,456.5,461,455,456.75,1,456.75
2001-03-12,455,455,455,455,1,455
2001-03-13,455,455,455,459,0,459
2001-03-14,450,451,442,442,287,442
2001-03-15,444,445,442.5,444.5,174,444.5
2001-03-16,445.5,447,445,447,38,447
2001-03-19,443,444.25,442.5,444.25,105,444.25
2001-03-20,443.25,445.75,443.25,445.75,106,445.75
2001-03-21,446.25,446.5,445.5,445.5,199,445.5
2001-03-22,443.25,445,438.5,438.5,260,438.5
2001-03-23,434.5,436.25,434.5,435.5,137,435.5
2001-03-26,438,439.75,438,439.75,146,439.75
2001-03-27,442,442.5,441,441,81,441
2001-03-28,445,445,444,444,93,444
2001-03-29,441.25,441.75,440.5,441.5,396,441.5
2001-03-30,436.5,438.75,436,436,93,436
2001-04-02,432.25,433.25,431.75,431.75,101,431.75
2001-04-03,431.75,432.25,429,430,69,430
2001-04-04,430,431,429.5,430,174,430
2001-04-05,437,439,437,439,111,439
2001-04-06,437,439,437,437.5,35,437.5
2001-04-09,435.5,437.75,435.5,437.75,167,437.75
2001-04-10,441,442,440.75,442,132,442
2001-04-11,433,434.5,433,434.5,44,434.5
2001-04-12,436.75,437.25,436.75,437.25,89,437.25
2001-04-13,436.75,437.25,436.75,437.25,89,437.25
2001-04-16,434,435.5,434,434.75,59,434.75
2001-04-17,432.5,432.5,431.25,431.5,247,431.5
2001-04-18,429.5,430,426.5,428.25,186,428.25
2001-04-19,434,434.5,432,434.5,134,434.5
2001-04-20,429,431,429,431,120,431
2001-04-23,428.75,430,428.75,429.25,17,429.25
2001-04-24,422.5,423,422.5,423,52,423
